Date,Portfolio_Cumulative_Return,Portfolio_Daily_Return
2024-04-24,101.55910655585522,1.5591065558552288
2024-04-25,101.64189815443179,0.08152060547225531
2024-04-26,106.03749414452257,4.324590616570571
2024-04-29,105.34648158773172,-0.6516681315092588
2024-04-30,103.53561040160233,-1.7189669354275565
2024-05-01,103.79249830711782,0.24811550781328254
2024-05-02,105.11621393044055,1.275348069381558
2024-05-03,105.55280329643297,0.4153396984801337
2024-05-06,105.9571799380564,0.38310364954286524
2024-05-07,106.03610451003172,0.07448723344793666
2024-05-08,105.69466866750439,-0.32199960957169205
2024-05-09,104.86127405117026,-0.7884925766273374
2024-05-10,105.0882397111631,0.21644373678130607
2024-05-13,105.82035600977497,0.6966681529961016
2024-05-14,106.95056925048351,1.0680489872895018
2024-05-15,107.44531215671577,0.46259025052362124
2024-05-16,108.58436931464841,1.0601273662560962
2024-05-17,109.90967721641425,1.2205328539740838
2024-05-20,110.25781542938194,0.3167493725617939
2024-05-21,111.12512856526642,0.7866228189873614
2024-05-22,110.20821188112133,-0.825120920878444
2024-05-23,109.33357402904893,-0.7936231222187385
2024-05-24,109.7107209171174,0.34495066261006047
2024-05-27,109.47866159902524,-0.21151927191096856
2024-05-28,110.0749935600948,0.5447015449034935
2024-05-29,109.5280247433102,-0.49690560870756084
2024-05-30,107.90528280780178,-1.4815769199814164
2024-05-31,108.02765656960447,0.11340849921190121
2024-06-03,109.98322864156967,1.8102513134728282
2024-06-04,106.8457119382395,-2.8527228579142596
2024-06-05,109.15694073451829,2.163146048963353
2024-06-06,109.80500865156493,0.5937028948280914
2024-06-07,110.26326254140632,0.41733423226215993
2024-06-10,110.39639416575584,0.12073978338841435
2024-06-11,111.65212948054601,1.1374785601282735
2024-06-12,112.66016598787807,0.9028367949826748
2024-06-13,111.76693142413497,-0.7928574895222563
2024-06-14,112.34877105354761,0.5205829863975414
2024-06-17,112.76781178124754,0.37298203066253083
2024-06-18,112.24429130247503,-0.4642463753646739
2024-06-19,112.09660116344295,-0.13157919865527873
2024-06-20,112.8076994058848,0.634362001221632
2024-06-21,113.96810094020199,1.028654551443379
2024-06-24,113.9042098678986,-0.056060486904956096
