date,strategy_daily_return,benchmark_daily_return,strategy_nav,benchmark_nav
2024-04-24,0.005137884593234807,0.005137884593234807,100.51378845932348,100.51378845932348
2024-04-25,0.003014745352696412,0.003014745352696412,100.81681193596312,100.81681193596312
2024-04-26,-0.0031329499312305353,-0.0031329499312305353,100.50095791194146,100.50095791194146
2024-04-29,0.007408385499821719,0.007408385499821719,101.24550775125448,101.24550775125448
2024-04-30,-0.00602996735000826,-0.00602996735000826,100.6350006451794,100.6350006451794
2024-05-01,0.0006520585373943621,0.0006520585373943621,100.70062055651078,100.70062055651078
2024-05-02,0.004525467756717958,0.004525467756717958,101.15633796792076,101.15633796792076
2024-05-03,-0.0020251372496325054,-0.0020251372496325054,100.95148249986552,100.95148249986552
2024-05-06,0.0033080396404135378,0.0033080396404135378,101.28543400573358,101.28543400573358
2024-05-07,-0.0008402334762868454,-0.0008402334762868454,101.20033059342173,101.20033059342173
2024-05-08,-0.0002771594942894432,-0.0002771594942894432,101.17228196097253,101.17228196097253
2024-05-09,-0.01190831806871123,-0.01190831806871123,99.96749024764394,99.96749024764394
2024-05-10,0.00400566165288558,0.00400566165288558,100.36792618986414,100.36792618986414
2024-05-13,0.005502701489454974,0.005502701489454974,100.9202209268026,100.9202209268026
2024-05-14,0.003820202579849033,0.003820202579849033,101.30575661514611,101.30575661514611
2024-05-15,-0.0006998837387761491,-0.0006998837387761491,101.23485436344676,101.23485436344676
2024-05-16,0.00575655154916677,0.00575655154916677,101.81761802116235,101.81761802116235
2024-05-17,0.0026811211945428903,0.0026811211945428903,102.09060339481674,102.09060339481674
2024-05-20,0.0010110871407837372,0.0010110871407837372,102.1938258911041,102.1938258911041
2024-05-21,0.0026823873931493573,0.0026823873931493573,102.4679493213321,102.4679493213321
2024-05-22,0.0034122193158045593,0.0034122193158045593,102.81759243725723,102.81759243725723
2024-05-23,0.006274133171462183,0.006274133171462183,103.46268370457771,103.46268370457771
2024-05-24,-0.0010779403409625018,-0.0010779403409625018,103.3511571040283,103.3511571040283
2024-05-27,-0.0018535437037815556,-0.0018535437037815556,103.1595912174996,103.1595912174996
2024-05-28,-2.087151255496418e-05,-2.087151255496418e-05,103.15743812079634,103.15743812079634
2024-05-29,-0.004763393170374822,-0.004763393170374822,102.66605868457839,102.66605868457839
2024-05-30,-0.016107400710302137,-0.016107400710302137,101.01237533799849,101.01237533799849
2024-05-31,-0.0017860351685668532,-0.0017860351685668532,100.83196368318434,100.83196368318434
2024-06-03,0.021492563987752098,0.021492563987752098,102.99910111465587,102.99910111465587
2024-06-04,-0.02995064466605937,-0.02995064466605937,99.9142116362473,99.9142116362473
2024-06-05,0.030063788196298263,0.030063788196298263,102.91801133267955,102.91801133267955
2024-06-06,0.005757500975493015,0.005757500975493015,103.51056188332326,103.51056188332326
2024-06-07,0.01965620289767579,0.01965620289767579,105.5451864897543,105.5451864897543
2024-06-10,0.0030651692220884617,0.0030651692220884617,105.86870034692228,105.86870034692228
2024-06-11,0.0024580017856361113,0.0024580017856361113,106.12892580141799,106.12892580141799
2024-06-12,0.004711798338485441,0.004711798338485441,106.62898389767436,106.62898389767436
2024-06-13,0.0003921645225525873,0.0003921645225525873,106.67080000223487,106.67080000223487
2024-06-14,0.0005700321273210431,0.0005700321273210431,106.73160578528318,106.73160578528318
2024-06-17,0.0015357465799291214,0.0015357465799291214,106.89551848383826,106.89551848383826
2024-06-18,0.000896410547735651,0.000896410547735651,106.99134075411284,106.99134075411284
2024-06-19,-0.0010642066763122935,-0.0010642066763122935,106.87747985497471,106.87747985497471
2024-06-20,0.0014214015266229177,0.0014214015266229177,107.02939566800218,107.02939566800218
2024-06-21,-0.0007905277359112422,-0.0007905277359112422,106.94478596216881,106.94478596216881
2024-06-24,0.001750968159964136,0.001750968159964136,107.13204287726275,107.13204287726275
2024-06-25,0.005553746660585087,0.005553746660585087,107.727027102634,107.727027102634
2024-06-26,0.005806167724563838,0.005806167724563838,108.35250829046052,108.35250829046052
2024-06-27,0.01190295225640218,0.01190295225640218,109.6422230235033,109.6422230235033
2024-06-28,-0.0031655315154954164,-0.0031655315154954164,109.29514711109343,109.29514711109343
2024-07-01,0.010248068333197087,0.010248068333197087,110.41521124717475,110.41521124717475
2024-07-02,6.8312072986414715e-06,6.8312072986414715e-06,110.41596551637171,110.41596551637171
2024-07-03,0.0062165577703692295,0.0062165577703692295,111.10237274477534,111.10237274477534
2024-07-04,0.0015255141360436698,0.0015255141360436698,111.27186098494549,111.27186098494549
2024-07-05,0.006035467658063061,0.006035467658063061,111.9434387031726,111.9434387031726
2024-07-08,-0.00013037118549032699,-0.00013037118549032699,111.92884450436101,111.92884450436101
2024-07-09,0.0061683224104706336,0.0061683224104706336,112.61925770429535,112.61925770429535
2024-07-10,-0.001379694904152293,-0.001379694904152293,112.46387748833132,112.46387748833132
2024-07-11,-0.004934717467918057,-0.004934717467918057,111.90890002757985,111.90890002757985
2024-07-12,0.009885834480600656,0.009885834480600656,113.0152128901586,113.0152128901586
2024-07-15,0.0016507064880632702,0.0016507064880632702,113.20176783532624,113.20176783532624
2024-07-16,-0.002251623337715375,-0.002251623337715375,112.94688009299759,112.94688009299759
2024-07-17,-0.002365692868195782,-0.002365692868195782,112.67968246427662,112.67968246427662
2024-07-18,0.004209914512385098,0.004209914512385098,113.15405429473392,113.15405429473392
2024-07-19,-0.011777458304436623,-0.011777458304436623,111.82138713829973,111.82138713829973
2024-07-22,0.0006871192623364008,0.0006871192623364008,111.89822176734361,111.89822176734361
