Date,AAPL,AXISBANK.NS,DRREDDY.NS,GOOGL,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LTTS.NS,MARUTI.NS,MSFT,NESTLEIND.NS,POWERGRID.NS,RELIANCE.NS,SHREECEM.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS,WIPRO.NS
2024-04-23,165.39479064941406,1054.0350341796875,1175.9541015625,156.9626922607422,733.7274169921875,2174.9931640625,1072.6676025390625,1357.997802734375,384.217529296875,842.4641723632812,361.79583740234375,5096.69189453125,12736.7890625,401.4089050292969,1225.50341796875,267.03961181640625,1448.603271484375,24170.35546875,1456.8013916015625,154.36737060546875,3633.735107421875,9417.6513671875,216.58642578125
2024-04-24,167.49566650390625,1061.5228271484375,1175.697265625,157.82557678222656,735.7227783203125,2172.590087890625,1079.062744140625,1347.0294189453125,383.948974609375,873.4869995117188,367.7325134277344,5125.322265625,12685.630859375,402.8763732910156,1224.9644775390625,271.7655029296875,1439.5205078125,24161.830078125,1457.880615234375,158.5821990966797,3592.799560546875,9541.4267578125,215.5552673339844
2024-04-25,168.3577880859375,1125.1693115234375,1228.6358642578125,154.72125244140625,735.260498046875,2144.33056640625,1095.78857421875,1354.27880859375,391.6924133300781,896.3458862304688,327.7524719238281,5064.396484375,12664.51171875,393.0078430175781,1255.5867919921875,274.4794311523437,1449.2484130859375,23767.66015625,1491.635498046875,160.64169311523438,3612.634521484375,9566.025390625,216.0708465576172
2024-04-26,167.77313232421875,1128.4639892578125,1235.2249755859375,170.5404815673828,734.7981567382812,2136.447998046875,1090.032958984375,1346.5587158203125,393.8856506347656,877.9895629882812,320.9777526855469,4668.8974609375,12449.736328125,400.1777648925781,1216.4393310546875,273.49676513671875,1441.878173828125,23935.125,1478.29052734375,158.82167053222656,3583.702880859375,9582.9677734375,217.7581787109375
2024-04-29,171.93524169921875,1157.366943359375,1244.1156005859375,164.78799438476562,744.3858642578125,2139.764404296875,1141.4403076171875,1350.7952880859375,392.2743225097656,886.4007568359375,327.3433837890625,4606.7021484375,12436.505859375,396.1693115234375,1229.6927490234375,274.853759765625,1454.2613525390625,23939.736328125,1493.0582275390625,160.3543243408203,3629.514892578125,9843.3134765625,216.98480224609372
2024-04-30,168.7938232421875,1164.006103515625,1225.7811279296875,161.44564819335938,739.8109741210938,2143.945556640625,1131.8475341796875,1337.42626953125,389.9915161132813,872.9922485351562,324.060791015625,4534.1005859375,12561.6083984375,383.4445495605469,1228.5166015625,282.4808044433594,1456.2218017578125,24236.8828125,1473.924072265625,158.05532836914062,3583.04638671875,9850.6220703125,216.72702026367188
2024-05-01,167.77313232421875,1164.006103515625,1225.7811279296875,162.5167999267578,739.8109741210938,2143.945556640625,1131.8475341796875,1337.42626953125,389.9915161132813,872.9922485351562,324.060791015625,4534.1005859375,12561.6083984375,388.9698181152344,1228.5166015625,282.4808044433594,1456.2218017578125,24236.8828125,1473.924072265625,158.05532836914062,3583.04638671875,9850.6220703125,216.72702026367188
2024-05-02,171.46945190429688,1147.982177734375,1242.2188720703125,165.25416564941406,745.7242431640625,2139.95654296875,1121.0740966796875,1331.68310546875,392.9904479980469,881.05712890625,314.4224853515625,4517.9775390625,12549.7001953125,391.825927734375,1230.9176025390625,293.4768371582031,1455.7752685546875,24615.982421875,1490.5069580078125,160.30642700195312,3623.044189453125,9862.08203125,214.38352966308597
2024-05-03,181.7261505126953,1139.645751953125,1254.4781494140625,165.86911010742188,739.567626953125,2131.0654296875,1123.63232421875,1333.425048828125,390.7077026367188,865.07568359375,308.6454467773437,4469.4619140625,12242.75390625,400.5126647949219,1203.382080078125,290.9032897949219,1423.46435546875,25527.51171875,1482.8043212890625,159.49220275878906,3604.3818359375,9696.9638671875,214.36007690429688
2024-05-06,180.0712127685547,1141.792236328125,1243.394287109375,166.7220458984375,741.0520629882812,2168.697021484375,1127.813720703125,1342.4632568359375,389.1858825683594,871.4584350585938,324.130615234375,4395.78564453125,12190.9580078125,407.2886047363281,1204.0189208984375,287.1599426269531,1409.095703125,25319.744140625,1500.4666748046875,160.54591369628906,3677.202880859375,9658.04296875,214.9694061279297
