Stock1,Stock2,Correlation
HDFCBANK.NS,HINDUNILVR.NS,0.1526233785686841
HINDUNILVR.NS,HINDUNILVR.NS,1.0
ICICIBANK.NS,HINDUNILVR.NS,0.15221268242179867
INFY.NS,HINDUNILVR.NS,0.15212272521451167
ITC.NS,HINDUNILVR.NS,0.39612150611778096
JSWSTEEL.NS,HINDUNILVR.NS,0.15372500346801715
KOTAKBANK.NS,HINDUNILVR.NS,0.2354627766233365
LTTS.NS,HINDUNILVR.NS,0.20105641687839892
MARUTI.NS,HINDUNILVR.NS,0.2500026083931406
MSFT,HINDUNILVR.NS,0.06677553665691555
NESTLEIND.NS,HINDUNILVR.NS,0.573309704079188
POWERGRID.NS,HINDUNILVR.NS,0.08101195520506765
RELIANCE.NS,HINDUNILVR.NS,0.15668519852648258
SHREECEM.NS,HINDUNILVR.NS,0.22295360728548583
SUNPHARMA.NS,HINDUNILVR.NS,0.10368029818568465
TATASTEEL.NS,HINDUNILVR.NS,0.07587813708374437
TCS.NS,HINDUNILVR.NS,0.18996818699338297
ULTRACEMCO.NS,HINDUNILVR.NS,0.22877584346408725
WIPRO.NS,HINDUNILVR.NS,0.044633400362291006
AAPL,ICICIBANK.NS,0.07827652936832838
AXISBANK.NS,ICICIBANK.NS,0.5684478491277081
DRREDDY.NS,ICICIBANK.NS,0.15649736161360103
GOOGL,ICICIBANK.NS,0.031020637184256163
HDFCBANK.NS,ICICIBANK.NS,0.5656916270052874
HINDUNILVR.NS,ICICIBANK.NS,0.15221268242179867
ICICIBANK.NS,ICICIBANK.NS,1.0
INFY.NS,ICICIBANK.NS,0.20462228580565345
ITC.NS,ICICIBANK.NS,0.2413051044864925
JSWSTEEL.NS,ICICIBANK.NS,0.4141622284822973
KOTAKBANK.NS,ICICIBANK.NS,0.389776408121259
LTTS.NS,ICICIBANK.NS,0.21652787148014324
MARUTI.NS,ICICIBANK.NS,0.2953240295237022
MSFT,ICICIBANK.NS,0.03725831689409169
NESTLEIND.NS,ICICIBANK.NS,0.22235538535235022
POWERGRID.NS,ICICIBANK.NS,0.323635207980861
RELIANCE.NS,ICICIBANK.NS,0.3489277343176001
SHREECEM.NS,ICICIBANK.NS,0.37828305567411125
SUNPHARMA.NS,ICICIBANK.NS,0.2218847692345103
TATASTEEL.NS,ICICIBANK.NS,0.3757743524577837
TCS.NS,ICICIBANK.NS,0.1826641147859193
ULTRACEMCO.NS,ICICIBANK.NS,0.47109448623894
WIPRO.NS,ICICIBANK.NS,0.21718337608579374
AAPL,INFY.NS,0.02280314064461766
AXISBANK.NS,INFY.NS,0.22347688212689795
DRREDDY.NS,INFY.NS,0.21027073505145777
GOOGL,INFY.NS,0.07074694253268538
HDFCBANK.NS,INFY.NS,0.20470469771955477
HINDUNILVR.NS,INFY.NS,0.15212272521451167
ICICIBANK.NS,INFY.NS,0.20462228580565345
INFY.NS,INFY.NS,1.0
ITC.NS,INFY.NS,0.1302130407999616
JSWSTEEL.NS,INFY.NS,0.27340705299583934
KOTAKBANK.NS,INFY.NS,0.1763177956262763
LTTS.NS,INFY.NS,0.3805559792284342
MARUTI.NS,INFY.NS,0.1870308934681484
MSFT,INFY.NS,0.1032019052058871
NESTLEIND.NS,INFY.NS,0.1502303408528018
POWERGRID.NS,INFY.NS,0.14140199468586154
RELIANCE.NS,INFY.NS,0.24151982753637904
SHREECEM.NS,INFY.NS,0.19324154267796637
SUNPHARMA.NS,INFY.NS,0.1566837983183139
TATASTEEL.NS,INFY.NS,0.21559908731157332
TCS.NS,INFY.NS,0.7358255212681754
ULTRACEMCO.NS,INFY.NS,0.19122017223983728
WIPRO.NS,INFY.NS,0.6214452652169945
AAPL,ITC.NS,0.040202908889942206
AXISBANK.NS,ITC.NS,0.23151868507254342
DRREDDY.NS,ITC.NS,0.16380560183936282
GOOGL,ITC.NS,0.07326642926315982
HDFCBANK.NS,ITC.NS,0.2571072398212428
HINDUNILVR.NS,ITC.NS,0.39612150611778096
ICICIBANK.NS,ITC.NS,0.2413051044864925
INFY.NS,ITC.NS,0.1302130407999616
ITC.NS,ITC.NS,1.0
JSWSTEEL.NS,ITC.NS,0.22940335537106749
KOTAKBANK.NS,ITC.NS,0.26518581892703363
LTTS.NS,ITC.NS,0.1783319663356657
MARUTI.NS,ITC.NS,0.25740430844411616
MSFT,ITC.NS,0.07285506295592718
NESTLEIND.NS,ITC.NS,0.3808084623762844
POWERGRID.NS,ITC.NS,0.19168867191799524
RELIANCE.NS,ITC.NS,0.3230949359215626
SHREECEM.NS,ITC.NS,0.21741587576367727
SUNPHARMA.NS,ITC.NS,0.16149938189097793
TATASTEEL.NS,ITC.NS,0.2005310807558845
TCS.NS,ITC.NS,0.16922140736308414
