portfolio_type,expected_return,volatility,sharpe,w_AAPL,w_AXISBANK.NS,w_DRREDDY.NS,w_GOOGL,w_HDFCBANK.NS,w_HINDUNILVR.NS,w_ICICIBANK.NS,w_INFY.NS,w_ITC.NS,w_JSWSTEEL.NS,w_KOTAKBANK.NS,w_LTTS.NS,w_MARUTI.NS,w_MSFT,w_NESTLEIND.NS,w_POWERGRID.NS,w_RELIANCE.NS,w_SHREECEM.NS,w_SUNPHARMA.NS,w_TATASTEEL.NS,w_TCS.NS,w_ULTRACEMCO.NS,w_WIPRO.NS
max_sharpe,0.3223712972834176,0.18834357640230534,1.3514555091934037,0.12631870312272295,0.016130690594095637,0.0,0.4890915764466922,1.4898962877149297e-17,2.634169675918073e-16,0.07727550469651961,0.0,0.0,0.2911835251399704,1.5457807719787494e-16,0.0,0.0,8.522996260214705e-17,1.9187918478901183e-16,0.0,2.840399666141088e-17,4.48493394217458e-17,3.0055657803442656e-16,1.6488894960863866e-16,0.0,9.253223587930779e-17,0.0
random,0.14602843536095417,0.13196486799757262,0.592544843291619,0.05776026656700452,0.07515923558285167,0.0175506627217696,0.09367490417450089,0.053329912966223636,0.017922043908723304,0.06494788395839862,0.019297191231701382,0.0063880672648352985,0.06890617264244482,0.011130003051964104,0.010679811833207695,0.07439886895012421,0.0055504012989060145,0.08141960283129766,0.08005011477461778,0.014216639821463994,0.05212145325948784,0.009715372357490686,0.06360293625652369,0.00632740390076872,0.09496441479036337,0.020886635855330724
random,0.13090043534313264,0.1308359415439123,0.48203193454019067,0.06584646057783387,0.0719942134315466,0.020198751491839455,0.07943894843579954,0.05858705160427186,0.006612799447290578,0.08231961912195655,0.005320158131324796,0.002745288879422193,0.07955605232315646,0.0012427204653708884,0.008438370315668815,0.0016176533201596812,0.08399608848469475,0.0042648379691118034,0.03556106169759758,0.020705385039206842,0.032601251489869205,0.02772831124807653,0.08472061000702429,0.07334978882533884,0.08444820058393529,0.0687063771095036
random,0.12761407835123167,0.1258446099429718,0.47503619777588274,0.0655723488152979,0.080841707947274,0.011509293939180919,0.08716774453471283,0.0024486309447118173,0.078699036285347,0.007222434122298113,0.018317456648012587,0.00036649803709961097,0.04190538634475672,0.03146825729813133,0.015622442065146715,0.04245440266205276,0.037869182212341784,0.0722485068884646,0.08405706206494414,0.06141644238308322,0.011708898125655185,0.027800738812228967,0.08595705715069558,0.008351257073433841,0.03829128438563814,0.08870393125949208
random,0.12077722034381307,0.11506166107191397,0.46013490955418795,0.09192756119543743,0.05578613301811881,0.05664433145008767,0.08940209707245836,0.07756839895864985,0.07591021612608531,0.03165111700005946,0.03121863464062873,0.0271981379748964,0.032321742327120345,0.03444855198429553,0.013052259816768592,0.033184296921313236,0.04164931952038445,0.0288398246385279,0.015414962305789169,0.03481229366737868,0.04483405579973416,0.06719204492821464,0.06630725320067163,0.018896846422627178,0.003417308107420466,0.02832261292333212
random,0.12168751276116103,0.11787987669567643,0.45685642823380207,0.07811516028594015,0.030749505833538228,0.07265136645779796,0.09004743509250453,0.06333863312778529,0.04137298450353713,0.07166932714145062,0.04388559427084471,0.039719352580033465,0.05034395328886202,0.030451001463049916,0.00999150245566157,0.03976005978556383,0.011870635631394868,0.039337347559261604,0.05337739183388543,0.08920080345494506,0.0034716044004828132,0.05956153777157066,0.04387005039081442,0.0019418579589552873,0.02391708431568888,0.011355810396431602
random,0.12550066963807147,0.12725892256121718,0.4531496506816457,0.02330008125618081,0.07954956857300853,0.046548220187187905,0.09340599740129273,0.07450239496368749,0.08162560941693213,0.07262183932864016,0.009947161785189023,0.006106722750170051,0.08593292689031966,0.01297777766425741,0.03673914116422922,0.05727532965920787,0.019898882976252048,0.02115599636860909,0.04378364396531527,0.033890821684011786,0.0635356529620619,0.0070502315362915196,0.04589819397869785,0.016364345034664784,0.056976139542640455,0.010913320911152243
random,0.12581740928013144,0.12836857930102777,0.45169991178934776,0.04790066116754527,0.06558044889927622,0.06692843921433618,0.07624051155043747,0.07244395285108954,0.035577649691285136,0.05578039535272365,0.04148505691887167,0.010126823465503275,0.07054013377747814,0.05166053982027433,0.004979663926276572,0.05810817531302801,0.024303819717027334,0.005946319270708513,0.052074792231339546,0.06285906750151364,0.04440811808335723,0.00048489622132598745,0.0495245592870749,0.0005673796795372245,0.07953082993050678,0.022947766129483557
random,0.1233686346844841,0.12379620116477112,0.4486026293911397,0.10520780467862392,0.01751142489873853,0.002184988076157457,0.08331707875540931,0.0655681422495551,0.012110095112132268,0.017414461427281893,0.014288960906416083,0.01821653138782049,0.05037507889269993,0.0055639123237026175,0.056705074807265964,0.06609286690883666,0.0794118951667519,0.10328509306641467,0.009004607542210203,0.003838432241957129,0.01519074101016717,0.03682701685152408,0.05735743050476624,0.0004679212414483118,0.07559086295948594,0.10446957899063414
random,0.12643777324035566,0.13276209536719769,0.4414244875009867,0.08103468880794529,0.08795795426736601,0.06017517681382887,0.0887366474732733,0.07410760191433215,0.003999821718586429,0.00034357997415497505,0.00187511127912576,0.040742181821777634,0.05620176261773293,0.04340763538146687,0.06104744847545173,0.040534432728907124,0.003837387690729894,0.020390314441531183,0.08949115794912087,0.031181744498050324,0.029279621493415415,0.013775139562293318,0.0889970559824347,0.020777320146882085,0.058315378933119597,0.0037908360284735244
