,AAPL,AXISBANK.NS,DRREDDY.NS,GOOGL,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LTTS.NS,MARUTI.NS,MSFT,NESTLEIND.NS,POWERGRID.NS,RELIANCE.NS,SHREECEM.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS,WIPRO.NS
KOTAKBANK.NS,0.04960136780137673,0.38612402854708455,0.09282800961865897,0.018220556989812155,0.4436321593616079,0.2354627766233365,0.389776408121259,0.1763177956262763,0.26518581892703363,0.3682913371042426,1.0,0.21712926966918664,0.29920331489678637,0.05936343578131661,0.21826824574511378,0.2599605038058157,0.32982579681269764,0.30310748030132934,0.1546086740668958,0.32279748596304375,0.18186534505964433,0.3861544748643479,0.221980606984511
LTTS.NS,0.038757597839930914,0.19240204340631425,0.18930796561222435,0.05350708128712356,0.23553404912969897,0.20105641687839892,0.21652787148014324,0.3805559792284342,0.1783319663356657,0.2695200409561562,0.21712926966918664,1.0,0.20595231743430947,0.07022685392618772,0.1967444827943646,0.21084176207155236,0.27618134314938725,0.2214372987700173,0.15720966753807664,0.2902133935226356,0.40846364505289173,0.2169613880422687,0.3474031154171664
MARUTI.NS,0.10357988138766704,0.3498173880743167,0.22738298041123156,0.07412944538646715,0.3382987070503552,0.2500026083931406,0.2953240295237022,0.1870308934681484,0.25740430844411616,0.39770441261520767,0.29920331489678637,0.20595231743430947,1.0,0.05926048966751776,0.3195745787650198,0.2521555024474556,0.3675121890971986,0.3558941690208797,0.20871818928252325,0.36647876387089984,0.2090545246711302,0.43649971780466806,0.14494214471270273
MSFT,0.41669204802912374,-0.024737897202998415,0.050983962022681115,0.4196723664761633,0.019488986869449037,0.06677553665691555,0.03725831689409169,0.1032019052058871,0.07285506295592718,0.025711842639465403,0.05936343578131661,0.07022685392618772,0.05926048966751776,1.0,0.023166920023970052,0.001506867077598781,0.05439005192268062,0.08368098985384294,0.03869517291873682,0.05632358356386958,0.12115443400865086,0.09082138861479432,0.06983878112067886
NESTLEIND.NS,-0.011570423325761506,0.2561160874538133,0.15690525332742386,0.006677081694175255,0.19433323062123198,0.573309704079188,0.22235538535235022,0.1502303408528018,0.3808084623762844,0.2885085729412585,0.21826824574511378,0.1967444827943646,0.3195745787650198,0.023166920023970052,1.0,0.21685033882620836,0.2535792501497484,0.2967235952077108,0.1720938234133488,0.21678987487950468,0.22969852398990562,0.3223475604101114,0.15042464453069315
POWERGRID.NS,0.06291492861079595,0.31337217153733843,0.20297287487939233,0.03046980659856647,0.34901063499933,0.08101195520506765,0.323635207980861,0.14140199468586154,0.19168867191799524,0.4504259317542607,0.2599605038058157,0.21084176207155236,0.2521555024474556,0.001506867077598781,0.21685033882620836,1.0,0.43324367981448864,0.3141765453012564,0.28803253726876404,0.4693718689030832,0.16046238135982802,0.38766376144379333,0.22269626935028725
RELIANCE.NS,0.11297234273110093,0.40642691175089485,0.2608184652139506,0.08777651394025056,0.3977476121537918,0.15668519852648258,0.3489277343176001,0.24151982753637904,0.3230949359215626,0.43163288659292026,0.32982579681269764,0.27618134314938725,0.3675121890971986,0.05439005192268062,0.2535792501497484,0.43324367981448864,1.0,0.25218945406236504,0.27610511075763466,0.43356797575948397,0.2907696839842477,0.3919933046973795,0.30993636825238274
SHREECEM.NS,0.05246908907134944,0.3450015674467358,0.16198391862604858,0.06287836018562913,0.39012144366341445,0.22295360728548583,0.37828305567411125,0.19324154267796637,0.21741587576367727,0.4380588333247986,0.30310748030132934,0.2214372987700173,0.3558941690208797,0.08368098985384294,0.2967235952077108,0.3141765453012564,0.25218945406236504,1.0,0.17176176519121278,0.4232371373363924,0.18240335243968925,0.5891752250792244,0.20339559813074887
SUNPHARMA.NS,-0.002510964599286304,0.13998671338091814,0.4287157823121037,0.023390720608016346,0.14997496051446457,0.10368029818568465,0.2218847692345103,0.1566837983183139,0.16149938189097793,0.30865681077478047,0.1546086740668958,0.15720966753807664,0.20871818928252325,0.03869517291873682,0.1720938234133488,0.28803253726876404,0.27610511075763466,0.17176176519121278,1.0,0.3215911946083191,0.18894386218012765,0.2688788508043432,0.2098514057703116
TATASTEEL.NS,0.11002110802946723,0.4313487454274022,0.31215075849119256,0.11669890795980886,0.3790326963476411,0.07587813708374437,0.3757743524577837,0.21559908731157332,0.2005310807558845,0.7534824244089272,0.32279748596304375,0.2902133935226356,0.36647876387089984,0.05632358356386958,0.21678987487950468,0.4693718689030832,0.43356797575948397,0.4232371373363924,0.3215911946083191,1.0,0.22421239448234975,0.5146494474529651,0.31463821191541397
TCS.NS,0.04753184450444056,0.2115717342300907,0.20443457969481338,0.09697531137858831,0.18630995824229837,0.18996818699338297,0.1826641147859193,0.7358255212681754,0.16922140736308414,0.25919104214934313,0.18186534505964433,0.40846364505289173,0.2090545246711302,0.12115443400865086,0.22969852398990562,0.16046238135982802,0.2907696839842477,0.18240335243968925,0.18894386218012765,0.22421239448234975,1.0,0.2093025280488966,0.6250121599985985
ULTRACEMCO.NS,0.09023830474427577,0.45639453929059487,0.26323610547260895,0.06605667621086375,0.4818095628564417,0.22877584346408725,0.47109448623894,0.19122017223983728,0.2689020833554589,0.5447029194770393,0.3861544748643479,0.2169613880422687,0.43649971780466806,0.09082138861479432,0.3223475604101114,0.38766376144379333,0.3919933046973795,0.5891752250792244,0.2688788508043432,0.5146494474529651,0.2093025280488966,1.0,0.23003722092152182
WIPRO.NS,0.006701711422792737,0.20075990619171494,0.21800610207044963,0.08134261622897715,0.20483277747180428,0.044633400362291006,0.21718337608579374,0.6214452652169945,0.12080699947464814,0.3366236049828746,0.221980606984511,0.3474031154171664,0.14494214471270273,0.06983878112067886,0.15042464453069315,0.22269626935028725,0.30993636825238274,0.20339559813074887,0.2098514057703116,0.31463821191541397,0.6250121599985985,0.23003722092152182,1.0
